State,HomeValue
MN,342115.0501208603
MD,158988.23580032692
NJ,714441.6039484228
OR,538475.3870365535
ID,339763.6864497899
NY,165147.34833382527
OH,197604.95431588904
PA,144176.38727727707
CA,503983.06432170985
OR,300308.62032777054
WV,155964.01614364257
WV,162882.03296930678
WI,285965.53347835474
AR,98907.6297818247
OR,398784.25594911474
AL,235298.38246417436
TX,190159.05103241545
OH,192601.1394020371
PA,156184.12173406532
WA,617143.0378874406
SC,146961.3915304578
WI,329725.1983491929
PA,148540.97412692578
NY,156033.58673966836
MT,325453.20540654816
MS,143069.57541461076
AR,182955.5195109436
PA,153212.8766497822
MI,219970.77115731535
IN,174901.64611438257
PA,230832.6111603873
LA,123474.3894113158
MT,464078.4845426622
FL,1015447.469179918
AL,186500.25306447624
OK,217090.82248564655
IN,259581.38237402783
TX,276457.63487019605
WA,436718.00926172704
WI,235908.6812302669
GA,236165.3282938778
PA,122030.35462709292
IN,273879.81619979365
NY,212969.60265154412
GA,265879.8693019557
WY,293711.4997288553
NC,206090.20230795536
CO,923161.3615698554
SC,274867.7712238839
ND,243821.1245591452
NY,152063.665594854
OH,202030.76773717764
AR,193328.2492432587
NE,239825.98875114197
WA,497885.4907737174
NY,214020.73835006755
TX,264948.06286143576
NH,362742.50880591647
UT,1087916.1306913754
IL,165309.08852639233
OH,223627.6185980947
OH,227906.5059604802
KY,229357.8188944743
IL,82300.26166165354
WA,326202.8767521866
OH,128732.7631247898
PA,161674.50988501823
WI,210848.5894812846
GA,391458.3606841161
HI,983985.8268836276
FL,213625.6291751832
NM,203276.13204049
NM,162502.81648111643
OK,174103.05333951188
NC,223704.549226011
WI,284814.41462350806
TN,234796.2719905599
SC,160140.6809238278
FL,264245.2627131282
OR,288349.46995539125
NC,452817.5949925293
CA,316582.4619965986
NM,221526.70118921052
NC,95840.54491612031
MO,184832.46652450683
OK,144295.9413422232
IN,139510.81863930295
MN,336297.76644026366
IN,156512.0398197906
MI,230546.3287233994
NC,226624.14471454456
MI,205846.93962231
TX,119207.91478332046
OH,172154.14705417928
WI,312522.2081719376
CA,314436.4220586368
WI,181337.59788230908
NM,147295.03123323704
WA,459500.63432649086
GA,157686.45087596925
TX,219648.6251059751
KY,165357.86019437425
OR,347680.27794704266
NC,209953.6012794137
VA,128277.8634328856
ID,408066.2407779272
ID,357226.50021232344
NH,479317.2018034462
SC,394568.75842487393
OH,171247.01876179848
NC,279489.53401929466
OK,129922.33546886477
OH,269550.7479170503
WA,408398.5471257687
NC,285657.5181992741
KS,141963.11557051772
NY,441030.6855028539
MS,235270.5474761977
NM,212316.91660761196
WY,335353.7744264262
MI,204662.19517762595
VT,308221.06263318926
TN,299661.76515029283
PA,193456.6820738729
KS,170005.84495387622
OH,185713.63499913635
MN,336102.2862392836
VT,387192.3113111687
OH,174930.66810993094
NY,207119.23426461188
MS,170179.07915406616
OH,174288.44479142452
NY,206314.0118760052
OK,175389.37368697746
TX,202557.904876034
IA,115145.9704352356
IL,124741.60425513465
NV,399743.2394309535
NV,470695.23835377255
TX,202603.91887200132
GA,265129.85222330835
NC,395282.705305625
NE,276711.3463164659
WV,164493.11685667196
OR,350815.6429703806
SC,169410.9324915622
MS,216636.50490178377
IL,126822.84224866636
MO,254325.02047233147
UT,405491.6777921831
GA,143832.8111151712
MS,344746.14046183764
IN,226843.09745899023
CO,1330953.277943361
CO,661952.8511975642
NC,142597.707557347
CA,396788.1491453381
OH,161363.117065796
AR,146721.11905159566
OH,149882.98257697094
NV,344316.2700006248
KY,200535.8641127116
KY,187445.60772361732
GA,291169.1196366335
NC,504653.3093010557
MO,265433.125291764
NY,206115.56508151072
MO,209879.55370673948
MO,156434.50689850116
NC,247161.3546858201
AZ,378329.6590773857
TN,243274.5110769329
AL,197485.6492836196
OH,227499.5376683718
AL,184467.7974703096
GA,185674.9585860799
TX,367200.59468915313
OK,169502.95649854906
WI,208245.87429839312
TX,213722.2690724441
OH,202175.76739998723
IL,201670.6379480473
GA,150128.12511336713
PA,128704.60599953464
IA,190801.70655861727
TX,227197.6521495485
IL,98618.66976269924
NV,335622.33231824235
TX,193144.29600623087
MN,262573.8589582076
OR,483474.8519233216
LA,111911.60252508524
TN,318662.2881831064
NY,199972.3804986076
AL,154764.77179571652
TX,113740.99996270228
NV,662429.1600073628
LA,153368.10076897664
CO,340413.700473234
LA,111924.31243068482
IN,169544.18561068783
NM,154300.53298240685
NE,234686.69939359472
MI,207850.29624666303
LA,208400.25580247055
OH,217997.55814176923
WA,375093.48531717295
NY,172055.8344030932
TX,200762.78809180608
